,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
70,sequence_50973,0,1,1,0,5,5,6,6,5,6,10,10,12,14,10,3,16,14,13,20,7,13,22,24,15,14,12,19
71,sequence_32112,0,0,0,2,3,0,4,4,8,5,4,4,6,10,6,5,4,6,12,6,5,9,9,12,5,20,8,10
72,sequence_50978,0,1,1,0,5,5,6,6,5,6,10,10,12,14,10,3,11,8,13,20,7,13,5,24,15,14,12,23
73,sequence_32162,0,0,0,2,3,0,4,4,8,5,4,4,6,10,6,5,4,16,12,6,5,9,9,12,23,20,8,10
74,sequence_50995,0,1,1,0,5,6,1,0,4,10,8,5,1,12,15,10,17,10,10,17,20,7,15,4,4,18,15,20
75,sequence_50972,0,1,1,0,5,6,1,0,5,6,8,2,12,14,4,16,0,13,17,14,13,13,11,1,6,16,21,20
76,sequence_32115,0,0,0,2,3,0,4,4,8,5,4,4,11,5,9,5,13,16,12,9,19,9,9,17,23,9,18,17
77,sequence_50979,0,1,1,0,5,5,6,6,5,6,7,10,12,14,10,12,11,8,13,20,7,19,5,24,15,3,26,23
78,sequence_32152,0,0,0,2,3,0,4,4,8,5,4,4,6,10,9,5,8,6,12,6,19,9,9,12,23,9,8,10
79,sequence_32113,0,0,0,2,3,0,4,5,8,9,0,11,11,2,2,7,13,16,4,15,19,0,21,17,9,11,18,2
80,sequence_32182,0,0,0,2,3,0,4,4,8,5,4,4,6,10,6,5,4,6,12,6,5,9,4,12,5,20,8,10
81,sequence_50987,0,1,1,0,5,6,1,0,5,1,8,5,1,12,14,9,0,14,17,14,9,21,10,9,6,8,21,20
