,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
105,sequence_51158,1,1,1,0,5,5,5,5,5,2,0,1,0,4,4,4,1,0,12,12,12,12,12,12,25,25,25,25
106,sequence_51165,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
107,sequence_51176,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
108,sequence_51155,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
109,sequence_51162,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
110,sequence_51172,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
111,sequence_51195,1,1,1,0,5,5,5,5,5,2,0,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5
112,sequence_51152,1,1,1,0,5,5,5,5,5,2,0,1,0,4,4,4,1,0,19,19,19,19,19,19,19,19,19,19
113,sequence_51177,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
114,sequence_51161,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
115,sequence_51166,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
116,sequence_51156,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
117,sequence_51180,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
118,sequence_51164,1,1,1,0,5,5,5,5,5,2,0,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
119,sequence_51194,1,1,1,0,5,5,5,5,5,2,0,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5
120,sequence_51154,1,1,1,0,1,0,1,1,1,1,1,0,8,8,8,3,3,1,1,0,21,21,21,21,21,21,21,10
121,sequence_51188,1,1,1,0,1,0,7,7,7,7,7,7,7,7,3,1,0,7,7,7,7,7,7,7,7,7,3,3
122,sequence_51179,1,1,1,0,1,0,7,7,7,7,7,7,7,7,3,1,0,18,18,18,18,18,18,18,18,18,18,18
123,sequence_51127,1,1,1,0,5,5,5,5,5,2,0,1,0,4,4,4,1,0,12,12,12,12,12,12,25,25,25,25
124,sequence_51198,1,1,1,0,1,0,7,7,7,7,7,7,7,7,3,1,0,7,7,7,7,7,7,7,7,7,3,3
125,sequence_51160,1,1,1,0,5,5,5,5,5,2,0,1,0,4,4,4,1,0,12,12,12,12,12,12,25,25,25,25
126,sequence_51184,1,1,1,0,5,5,5,5,5,2,0,1,0,4,4,4,1,0,19,19,19,19,19,19,19,19,19,19
127,sequence_51129,1,1,1,0,1,0,1,1,1,1,1,0,6,6,6,6,6,6,6,6,6,2,2,0,12,12,12,12
128,sequence_51185,1,1,1,0,1,0,1,1,1,1,1,0,6,6,6,6,6,6,6,6,6,2,2,0,20,20,20,20
129,sequence_51128,1,1,1,0,1,0,7,7,7,7,7,7,7,7,3,1,0,7,7,7,7,7,7,7,7,7,3,3
130,sequence_51134,1,1,1,0,1,0,1,1,1,1,1,0,8,8,8,3,3,1,1,0,21,21,21,21,21,21,21,10
131,sequence_51135,1,1,1,0,1,0,1,1,1,1,1,0,8,8,8,3,3,1,1,0,21,21,21,21,21,21,21,10
132,sequence_51190,1,1,1,0,1,0,1,1,1,1,1,0,8,8,8,3,3,1,1,0,8,8,3,3,3,3,1,0
133,sequence_32134,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
134,sequence_32160,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
135,sequence_32110,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
136,sequence_32120,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
137,sequence_32142,0,0,3,3,3,3,3,3,3,3,3,3,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
138,sequence_32137,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,13,13,13,13,13,13,13
139,sequence_32123,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
140,sequence_32143,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
141,sequence_32139,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
142,sequence_32135,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
143,sequence_32176,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
144,sequence_32109,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
145,sequence_32121,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
146,sequence_32140,0,0,3,3,3,3,3,3,3,3,3,3,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
147,sequence_32136,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,13,13,13,13,13,13,13
148,sequence_50974,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,17,17,17,17,17,17,8,8,8,8,8,8
149,sequence_32118,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
150,sequence_32146,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,13,13,13,13,13,13,13
151,sequence_32138,0,0,3,3,3,3,3,3,3,3,3,3,1,0,7,7,7,3,3,1,0,22,22,22,22,22,22,22
152,sequence_50962,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
153,sequence_51050,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,26,26,26
154,sequence_51029,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
155,sequence_51008,0,2,0,1,0,1,0,6,2,0,6,6,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6
156,sequence_51011,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
157,sequence_32164,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,3,1,1,0,2,2,2,2,2
158,sequence_51035,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
