,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
7,sequence_51016,-4.626935645431157,sequence_51159,-5.319842748072733,8249.820383380058,1-0-2-2-1
11,sequence_51016,-4.626935645431157,sequence_51199,-6.996026362092827,8513.621948809414,1-0-2-2-1
126,sequence_51016,-4.626935645431157,sequence_51129,-8.402091964503104,7972.991554921339,1-0-2-2-1
116,sequence_51016,-4.626935645431157,sequence_51180,-6.304185064160062,8403.46509080913,1-0-2-2-1
14,sequence_51016,-4.626935645431157,sequence_51157,-7.993079403043451,8352.633088254115,1-0-2-2-1
130,sequence_51016,-4.626935645431157,sequence_51135,-7.603076627631569,8117.771130568957,1-0-2-2-1
105,sequence_51016,-4.626935645431157,sequence_51165,-8.135108482126563,8272.09417674378,1-0-2-2-1
100,sequence_51016,-4.626935645431157,sequence_51167,-6.709785800218548,8213.648217505704,1-0-2-2-1
0,sequence_51016,-4.626935645431157,sequence_51170,-5.599110392902725,8344.589812308268,1-0-2-2-1
113,sequence_51016,-4.626935645431157,sequence_51161,-8.29923749627917,8128.488646373263,1-0-2-2-1
112,sequence_51016,-4.626935645431157,sequence_51177,-6.222235866357328,8343.088959037334,1-0-2-2-1
107,sequence_51016,-4.626935645431157,sequence_51155,-5.6881928391837775,8419.830720275171,1-0-2-2-1
119,sequence_51016,-4.626935645431157,sequence_51154,-7.492004982128037,7754.415609178831,1-0-2-2-1
6,sequence_51016,-4.626935645431157,sequence_51181,-6.128408684508713,8527.99727292717,1-0-2-2-1
13,sequence_51016,-4.626935645431157,sequence_51183,-7.546017632580344,8397.758990415314,1-0-2-2-1
106,sequence_51016,-4.626935645431157,sequence_51176,-6.977819960699303,8329.157441185913,1-0-2-2-1
5,sequence_51016,-4.626935645431157,sequence_51149,-7.135845590862672,8240.146997592163,1-0-2-2-1
109,sequence_51016,-4.626935645431157,sequence_51172,-6.315267818049118,8366.540378663076,1-0-2-2-1
206,sequence_51016,-4.626935645431157,sequence_51150,-7.330164570040457,8084.4090174399535,1-0-2-2-1
15,sequence_51016,-4.626935645431157,sequence_51163,-5.840652190889835,8367.63979212908,1-0-2-2-1
103,sequence_51016,-4.626935645431157,sequence_51178,-5.206388367343241,8295.678331549587,1-0-2-2-1
101,sequence_51016,-4.626935645431157,sequence_51130,-5.73331703632774,8212.039721129708,1-0-2-2-1
18,sequence_51016,-4.626935645431157,sequence_51171,-5.988608431336485,8123.582879513201,1-0-2-2-1
26,sequence_51016,-4.626935645431157,sequence_51151,-7.50501562302166,8271.043687481437,1-0-2-2-1
217,sequence_51016,-4.626935645431157,sequence_51200,-4.040097249792159,8235.257255693883,1-0-2-2-1
4,sequence_51016,-4.626935645431157,sequence_51140,-6.732490772637745,8363.009636057306,1-0-2-2-1
111,sequence_51016,-4.626935645431157,sequence_51152,-6.5750272986407685,8167.143808110078,1-0-2-2-1
102,sequence_51016,-4.626935645431157,sequence_51186,-5.749568986531335,8259.43630094644,1-0-2-2-1
232,sequence_51016,-4.626935645431157,sequence_51201,-6.724658769791372,8291.170408947994,1-0-2-2-1
237,sequence_51016,-4.626935645431157,sequence_51139,-6.942655461209572,8185.654118327279,1-0-2-2-1
8,sequence_51016,-4.626935645431157,sequence_51175,-5.0920670419749925,8427.500869632193,1-0-2-2-1
115,sequence_51016,-4.626935645431157,sequence_51156,-6.2249740524313975,8336.691319453765,1-0-2-2-1
114,sequence_51016,-4.626935645431157,sequence_51166,-7.112515562930268,8133.631899740531,1-0-2-2-1
25,sequence_51016,-4.626935645431157,sequence_51147,-8.583544794452564,7748.229143279351,1-0-2-2-1
125,sequence_51016,-4.626935645431157,sequence_51184,-7.972632247347034,8230.122428604875,1-0-2-2-1
108,sequence_51016,-4.626935645431157,sequence_51162,-5.483585000857007,8339.736579954564,1-0-2-2-1
259,sequence_51170,-5.599110392902725,sequence_51144,-7.6062267387969245,3276.068930804476,1-0-2-2-1
256,sequence_51170,-5.599110392902725,sequence_51174,-8.191804956045784,2906.820372177493,1-0-2-2-1
485,sequence_51170,-5.599110392902725,sequence_51153,-7.196744445638808,3790.592888624986,1-0-2-2-1
364,sequence_51170,-5.599110392902725,sequence_51164,-5.675591751285612,944.3204918245024,1-0-2-2-1
263,sequence_51170,-5.599110392902725,sequence_51173,-7.430867304520878,1617.650870208034,1-0-2-2-1
264,sequence_51170,-5.599110392902725,sequence_51168,-7.697662542801202,2906.695364425995,1-0-2-2-1
254,sequence_51170,-5.599110392902725,sequence_51159,-5.319842748072733,2364.353431276291,1-0-2-2-1
258,sequence_51170,-5.599110392902725,sequence_51199,-6.996026362092827,2374.341454837063,1-0-2-2-1
373,sequence_51170,-5.599110392902725,sequence_51129,-8.402091964503104,4226.047538714794,1-0-2-2-1
363,sequence_51170,-5.599110392902725,sequence_51180,-6.304185064160062,2456.062919996542,1-0-2-2-1
261,sequence_51170,-5.599110392902725,sequence_51157,-7.993079403043451,1103.3053607380868,1-0-2-2-1
377,sequence_51170,-5.599110392902725,sequence_51135,-7.603076627631569,4354.240166923992,1-0-2-2-1
352,sequence_51170,-5.599110392902725,sequence_51165,-8.135108482126563,2635.817270865281,1-0-2-2-1
347,sequence_51170,-5.599110392902725,sequence_51167,-6.709785800218548,1442.7308541250616,1-0-2-2-1
360,sequence_51170,-5.599110392902725,sequence_51161,-8.29923749627917,2227.468735874409,1-0-2-2-1
359,sequence_51170,-5.599110392902725,sequence_51177,-6.222235866357328,361.56029864741777,1-0-2-2-1
354,sequence_51170,-5.599110392902725,sequence_51155,-5.6881928391837775,2333.1016125379065,1-0-2-2-1
366,sequence_51170,-5.599110392902725,sequence_51154,-7.492004982128037,4193.1226447255785,1-0-2-2-1
253,sequence_51170,-5.599110392902725,sequence_51181,-6.128408684508713,2118.1634435036663,1-0-2-2-1
260,sequence_51170,-5.599110392902725,sequence_51183,-7.546017632580344,2117.883261935985,1-0-2-2-1
353,sequence_51170,-5.599110392902725,sequence_51176,-6.977819960699303,730.9799151516612,1-0-2-2-1
252,sequence_51170,-5.599110392902725,sequence_51149,-7.135845590862672,2711.851926034801,1-0-2-2-1
356,sequence_51170,-5.599110392902725,sequence_51172,-6.315267818049118,1378.5409416652158,1-0-2-2-1
453,sequence_51170,-5.599110392902725,sequence_51150,-7.330164570040457,4817.208018781636,1-0-2-2-1
262,sequence_51170,-5.599110392902725,sequence_51163,-5.840652190889835,2996.3757635048128,1-0-2-2-1
350,sequence_51170,-5.599110392902725,sequence_51178,-5.206388367343241,1983.804639185568,1-0-2-2-1
348,sequence_51170,-5.599110392902725,sequence_51130,-5.73331703632774,2721.953296389516,1-0-2-2-1
265,sequence_51170,-5.599110392902725,sequence_51171,-5.988608431336485,1981.5614271401173,1-0-2-2-1
