,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
175,sequence_32179,11,11,11,12,12,12,12,12,12,10
176,sequence_50997,13,3,3,3,3,4,4,4,4,4
177,sequence_50998,5,5,5,5,5,5,5,5,5,5
178,sequence_50999,13,12,12,13,13,13,13,13,13,11
179,sequence_50961,13,12,12,13,13,13,13,13,13,11
180,sequence_32175,11,11,11,12,12,12,12,12,12,10
181,sequence_32178,12,13,13,14,14,14,14,14,14,12
182,sequence_51041,4,4,4,4,4,15,15,15,15,13
183,sequence_50965,3,12,12,13,13,4,4,4,4,4
184,sequence_51048,13,12,12,13,13,4,4,4,4,4
185,sequence_50992,13,12,12,13,13,13,13,13,13,11
186,sequence_32165,9,9,9,10,10,10,10,10,10,1
187,sequence_51040,3,3,3,3,3,3,3,3,3,3
188,sequence_32177,9,9,9,10,10,10,10,10,10,1
189,sequence_50963,3,3,3,3,3,3,3,3,3,3
190,sequence_51001,13,12,12,13,13,13,13,13,13,11
191,sequence_50990,13,12,12,13,13,13,13,13,13,11
192,sequence_32168,11,11,11,12,12,12,12,12,12,10
193,sequence_32172,11,11,11,12,12,12,12,12,12,10
194,sequence_32111,12,13,13,14,14,14,14,14,14,12
195,sequence_51051,13,12,12,13,13,4,4,4,4,4
196,sequence_50975,5,12,12,13,13,13,13,13,13,11
197,sequence_32155,10,10,10,11,11,11,11,11,11,9
198,sequence_32156,12,13,13,14,14,14,14,14,14,12
199,sequence_50993,13,12,12,13,13,13,13,13,13,11
200,sequence_32157,12,13,13,14,14,14,14,14,14,12
201,sequence_51193,2,2,2,8,8,8,8,8,8,7
202,sequence_51038,14,14,14,15,15,15,15,15,15,13
203,sequence_50994,13,12,12,13,13,13,13,13,13,11
204,sequence_32154,12,13,13,14,14,14,14,14,14,12
205,sequence_51030,14,14,14,15,15,15,15,15,15,13
206,sequence_51021,14,14,14,15,15,15,15,15,15,13
207,sequence_51150,8,8,8,9,9,9,9,9,9,8
208,sequence_51022,14,14,14,15,15,15,15,15,15,13
209,sequence_51057,14,14,14,15,15,15,15,15,15,13
210,sequence_51056,14,14,14,15,15,15,15,15,15,13
211,sequence_51055,14,14,14,15,15,15,15,15,15,13
212,sequence_51142,15,15,15,2,2,2,2,2,2,2
213,sequence_50982,5,5,5,5,5,5,5,5,5,5
214,sequence_51132,15,15,15,16,16,16,16,16,16,14
215,sequence_51197,15,15,15,16,16,16,16,16,16,14
216,sequence_51004,5,5,5,5,5,5,5,5,5,5
217,sequence_50968,5,5,5,5,5,5,5,5,5,5
218,sequence_51200,7,7,7,8,8,8,8,8,8,7
219,sequence_50976,5,5,5,5,5,5,5,5,5,5
220,sequence_50977,3,3,3,3,3,3,3,3,3,3
221,sequence_51039,4,4,4,4,4,15,15,15,15,13
222,sequence_51126,15,15,15,6,6,6,6,6,6,14
223,sequence_51143,2,2,2,2,2,2,2,2,2,2
224,sequence_50981,3,3,3,3,3,3,3,3,3,3
225,sequence_50971,5,5,5,5,5,5,5,5,5,5
226,sequence_51047,5,5,5,5,5,5,5,5,5,5
227,sequence_50964,5,5,5,5,5,5,5,5,5,5
228,sequence_51049,14,14,14,15,15,15,15,15,15,13
229,sequence_32173,9,9,9,10,10,10,10,10,10,1
230,sequence_50983,13,0,0,0,0,0,0,0,0,0
231,sequence_51044,13,0,0,0,0,4,4,4,4,4
232,sequence_51006,14,12,12,13,13,13,13,13,13,11
233,sequence_51201,8,8,8,9,9,9,9,9,9,8
234,sequence_51036,14,14,14,15,15,15,15,15,15,13
235,sequence_50967,14,14,14,15,15,15,15,15,15,13
236,sequence_32161,9,9,9,10,10,10,10,10,10,1
237,sequence_32144,1,1,1,1,1,1,1,1,1,1
238,sequence_51139,8,8,8,9,9,9,9,9,9,8
239,sequence_51153,7,7,7,8,8,8,8,8,8,7
240,sequence_32145,1,1,1,1,1,1,1,1,1,1
241,sequence_50985,0,0,0,0,0,0,0,0,0,0
242,sequence_32153,9,9,9,10,10,10,10,10,10,1
243,sequence_50986,0,0,0,0,0,0,0,0,0,0
244,sequence_51042,4,4,4,4,4,15,15,15,15,13
245,sequence_51024,14,14,14,15,15,15,15,15,15,13
246,sequence_51037,14,14,14,15,15,15,15,15,15,13
247,sequence_51146,6,6,6,7,7,7,7,7,7,6
