,id,target,labels
190,sequence_19452,44.2,26
191,sequence_19407,49.2,25
192,sequence_19444,50.7,11
193,sequence_19499,53.3,23
194,sequence_19487,55.9,10
195,sequence_19398,46.2,22
196,sequence_19424,50.9,8
197,sequence_20037,57.8,12
198,sequence_53058,51.2,32
199,sequence_19458,62.9,27
200,sequence_19470,61.0,32
201,sequence_19364,57.1,28
202,sequence_19366,60.0,32
203,sequence_19361,55.6,29
204,sequence_19358,59.1,2
205,sequence_19360,63.5,28
206,sequence_19474,64.4,28
207,sequence_53060,47.9,3
208,sequence_19473,60.6,29
209,sequence_19459,59.2,30
210,sequence_19481,63.1,31
211,sequence_19465,62.9,28
