,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
590,sequence_32130,-5.7157882520247325,sequence_32159,-6.970724932862983,20642.91526520162,1-0-0-0-92-2
20,sequence_51016,-4.626935645431157,sequence_51131,-7.774340977997347,28609.04148139919,1-2-1-1-93-15
267,sequence_51170,-5.599110392902725,sequence_51131,-7.774340977997347,24742.29439462476,1-2-1-1-93-15
514,sequence_32130,-5.7157882520247325,sequence_51131,-7.774340977997347,26544.97370973609,1-2-1-1-93-15
76,sequence_51016,-4.626935645431157,sequence_50979,-6.9793484717108525,24532.992951472825,0-1-2-2-135-8
323,sequence_51170,-5.599110392902725,sequence_50979,-6.9793484717108525,30162.530175190997,0-1-2-2-135-8
570,sequence_32130,-5.7157882520247325,sequence_50979,-6.9793484717108525,25660.94553405718,0-1-2-2-135-8
97,sequence_51016,-4.626935645431157,sequence_32149,-7.516758509933092,27385.64797834716,0-0-0-0-102-12
344,sequence_51170,-5.599110392902725,sequence_32149,-7.516758509933092,29248.246919766683,0-0-0-0-102-12
591,sequence_32130,-5.7157882520247325,sequence_32149,-7.516758509933092,20679.61669435235,0-0-0-0-102-12
176,sequence_51016,-4.626935645431157,sequence_50998,-5.944204158002268,25323.8951592582,0-1-2-2-131-10
423,sequence_51170,-5.599110392902725,sequence_50998,-5.944204158002268,29679.607608882627,0-1-2-2-131-10
670,sequence_32130,-5.7157882520247325,sequence_50998,-5.944204158002268,28478.84957645451,0-1-2-2-131-10
228,sequence_51016,-4.626935645431157,sequence_32173,-7.412850678006673,28319.86252153045,0-0-0-0-0-2
475,sequence_51170,-5.599110392902725,sequence_32173,-7.412850678006673,28771.44137783924,0-0-0-0-0-2
722,sequence_32130,-5.7157882520247325,sequence_32173,-7.412850678006673,15117.909098664388,0-0-0-0-0-2
142,sequence_51016,-4.626935645431157,sequence_32176,-7.495966273349671,28536.36479207073,0-0-0-0-14-2
389,sequence_51170,-5.599110392902725,sequence_32176,-7.495966273349671,31942.212447903203,0-0-0-0-14-2
636,sequence_32130,-5.7157882520247325,sequence_32176,-7.495966273349671,12223.817745486089,0-0-0-0-14-2
53,sequence_51016,-4.626935645431157,sequence_51003,-4.688170977244142,8618.478879870596,0-1-2-2-194-0
300,sequence_51170,-5.599110392902725,sequence_51003,-4.688170977244142,31275.67954910828,0-1-2-2-194-0
547,sequence_32130,-5.7157882520247325,sequence_51003,-4.688170977244142,27701.70206884697,0-1-2-2-194-0
238,sequence_51016,-4.626935645431157,sequence_51153,-7.196744445638808,29676.43676695156,1-2-1-1-197-7
485,sequence_51170,-5.599110392902725,sequence_51153,-7.196744445638808,16190.4554957255,1-2-1-1-197-7
732,sequence_32130,-5.7157882520247325,sequence_51153,-7.196744445638808,28568.881366177637,1-2-1-1-197-7
117,sequence_51016,-4.626935645431157,sequence_51164,-5.675591751285612,31692.08387563741,1-2-1-1-192-1
364,sequence_51170,-5.599110392902725,sequence_51164,-5.675591751285612,8323.419325130038,1-2-1-1-192-1
